id,calories,proteins,fat,carbohydrate,name,image
1071,87,0.8,0.4,20.1,Salak pondoh segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Salak_pondoh_segar.jpg
1072,281,2.4,0.7,66.1,Sale pisang siam,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sale_pisang_siam.jpg
1073,122,2,10,7.6,Santan (dengan air),https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Santan_(dengan_air).jpg
1074,324,4.2,34.3,55.6,Santan (kelapa saja),https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Santan_(kelapa_saja).jpg
1075,324,4.2,34.3,5.6,Santan murni,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Santan_murni.jpg
1077,212,18,10.6,59.3,Sapi abon,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sapi_abon.jpg
1078,108,17.6,4.2,0,Sapi babat segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sapi_babat_segar.jpg
1079,182,32,6,0,Sapi daging asap,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sapi_daging_asap.jpg
1080,301,55,9,0,Sapi daging dendeng mentah,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sapi_daging_dendeng_mentah.jpg
1081,273,17.5,22,0,Sapi daging gemuk segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sapi_daging_gemuk_segar.jpg
1082,289,16,25,0,Sapi daging kornet,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sapi_daging_kornet.jpg
1083,174,19.6,10,0,Sapi daging kurus segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sapi_daging_kurus_segar.jpg
1084,201,18.8,14,0,Sapi daging lemak sedang segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sapi_daging_lemak_sedang_segar.jpg
1085,448,14.5,42.3,2.3,Sapi daging sosis (Worst),https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sapi_daging_sosis_(Worst).jpg
1086,183,12,14.4,1.4,Sapi daleman segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sapi_daleman_segar.jpg
1088,137,15,8.1,0.9,Sapi ginjal segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sapi_ginjal_segar.jpg
1089,274,16,22,3,Sapi hati sosis (liverworst),https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sapi_hati_sosis_(liverworst).jpg
1090,84,10.5,4.6,0.2,Sapi keleponan segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sapi_keleponan_segar.jpg
1091,132,19.7,3.2,6,Sapi liver segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sapi_liver_segar.jpg
1092,123,10.4,8.6,0.8,Sapi otak segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sapi_otak_segar.jpg
1093,360,57.3,6,19.2,Sapi paru dendeng mentah,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sapi_paru_dendeng_mentah.jpg
1094,268,23.9,12.7,14.5,Sapi paru goreng,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sapi_paru_goreng.jpg
1095,126,14,7.2,1.5,Sapi usus segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sapi_usus_segar.jpg
1096,281,37.5,0.3,32.1,Sarang Burung,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sarang_Burung.jpg
1097,338,21.1,27,1,Sardines dalam kaleng,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sardines_dalam_kaleng.jpg
1098,344,30,20,43,Sari Kedelai bubuk,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sari_Kedelai_bubuk.jpg
1099,166,2.3,2.8,32.9,Sarimuka,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sarimuka.jpg
1100,283,12.1,16.8,20.9,Sate Bandeng,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sate_Bandeng.jpg
1101,110,15.5,0.5,11.5,Sate Kulit ,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sate_Kulit_.jpg
1102,179,22.5,3.5,13.3,Sate penyu masakan,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sate_penyu_masakan.jpg
1103,274,12.9,18.6,13.6,Sate pusut masakan,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sate_pusut_masakan.jpg
1104,126.7,14,7.3,1.3,Sate Usus ,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sate_Usus_.jpg
1105,22,2.3,0.3,4,Sawi,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sawi.jpg
1109,92,0.5,1.1,22.4,Sawo,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sawo.jpg
1110,64,1,3.1,8,Sawo duren segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sawo_duren_segar.jpg
1111,111,0.9,2.3,21.6,Sawo kecik segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sawo_kecik_segar.jpg
1112,92,0.5,1.1,22.4,Sawo Manila segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sawo_Manila_segar.jpg
1114,49,1.7,0.3,9.8,Sayur bunga pepaya,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sayur_bunga_pepaya.jpg
1117,64,2.1,0.6,12.5,Sayur lebui,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sayur_lebui.jpg
1118,36,2.7,0.7,4.8,Sayur lilin-terubuk,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sayur_lilin-terubuk.jpg
1120,27,1.3,2,1,Sayur sop,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sayur_sop.jpg
1121,67,5.2,2.9,5.1,Sayur umbut kelapa,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sayur_umbut_kelapa.jpg
1122,57,5.4,2.6,3.1,Sayur umbut rotan,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sayur_umbut_rotan.jpg
1124,17,1.7,0.3,3,Selada Air,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Selada_Air.jpg
1125,19,2.7,0.2,2.9,Selada Air rebus,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Selada_Air_rebus.jpg
1128,192.5,4.5,6,30.3,Semur Jengkol ,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Semur_Jengkol_.jpg
1129,64,0.6,0.3,14.8,Sente,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sente.jpg
1130,353,0.7,0.2,84.7,Sente talas segar,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sente_talas_segar.jpg
1131,88,7.9,1.6,10.6,Sepi masakan,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sepi_masakan.jpg
1133,478,2.5,21.2,69.2,Serimping talas kebumen,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Serimping_talas_kebumen.jpg
1134,213,0,0,55,Setrup sirup,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Setrup_sirup.jpg
1135,88,3.2,8,0.8,Shabu-shabu,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Shabu-shabu.jpg
1136,474,11.2,42.5,11.7,Sie reuboh masakan,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Sie_reuboh_masakan.jpg
1137,81,5.1,4.5,5.1,Singkah (rotan muda),https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Singkah_(rotan_muda).jpg
1139,146,1.2,0.3,34.7,Singkong kukus,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Singkong_kukus.jpg
1140,173,0.5,0.1,42.5,Singkong tape,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Singkong_tape.jpg
1141,95.3,4.4,2.2,14.4,Siomay ,https://storage.googleapis.com/sweetlife-go/ml/dataset/nutrition-image/Siomay_.jpg
